Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
7,2,71.429,0.333,1.0,1.0,0.667,0.667,0.5,0.65,0.917
7,2,71.429,0.333,1.0,1.0,0.667,0.667,0.757,0.65,1.0
