Total,Nb Errors,Accuracy,Precision,Recall,Specificity,F1,AUC
66,12,81.818,0.615,0.533,0.902,0.571,0.706
66,16,75.758,0.462,0.4,0.863,0.429,0.571
66,14,78.788,0.545,0.4,0.902,0.462,0.775
66,13,80.303,0.6,0.4,0.922,0.48,0.728
67,19,71.642,0.385,0.312,0.843,0.345,0.653
67,15,77.612,0.533,0.5,0.863,0.516,0.748
67,19,71.642,0.412,0.438,0.804,0.424,0.619
67,21,68.657,0.25,0.2,0.827,0.222,0.594
67,20,70.149,0.333,0.333,0.808,0.333,0.6
67,14,79.104,0.538,0.467,0.885,0.5,0.692
