Total,Nb Errors,Accuracy,Precision,Recall,Specificity,F1,AUC
73,18,75.342,0.471,0.471,0.839,0.471,NaN
73,24,67.123,0.294,0.294,0.786,0.294,NaN
73,24,67.123,0.267,0.235,0.804,0.25,NaN
73,22,69.863,0.333,0.294,0.821,0.312,NaN
73,20,72.603,0.421,0.471,0.804,0.444,NaN
73,21,71.233,0.4,0.471,0.786,0.432,NaN
73,22,69.863,0.308,0.235,0.839,0.267,NaN
73,19,73.973,0.45,0.529,0.804,0.486,NaN
73,22,69.863,0.333,0.294,0.821,0.312,NaN
73,20,72.603,0.4,0.353,0.839,0.375,NaN
