Model PM_FS,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
glmnet_glmnet,74,28,62.162,0.176,0.754,0.176,0.754,0.754,0.176,0.465,0.505
glmnet_rf,74,27,63.514,0.188,0.759,0.176,0.772,0.772,0.182,0.474,0.503
