Model PM_FS,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
glmnet_glmnet,74,28,62.162,0.176,0.754,0.176,0.754,0.754,0.176,0.465,0.535
glmnet_rf,74,25,66.216,0.25,0.776,0.235,0.789,0.789,0.242,0.513,0.502
