Total,Nb Errors,Accuracy,Precision,Recall,Specificity,F1,AUC
66,15,77.273,0.5,0.4,0.882,0.444,0.683
66,16,75.758,0.4,0.133,0.941,0.2,0.633
66,19,71.212,0.357,0.333,0.824,0.345,0.647
66,16,75.758,0.429,0.2,0.922,0.273,0.577
67,14,79.104,0.583,0.438,0.902,0.5,0.725
67,16,76.119,0.5,0.375,0.882,0.429,0.748
67,15,77.612,0.533,0.5,0.863,0.516,0.819
67,13,80.597,0.667,0.267,0.962,0.381,0.726
67,15,77.612,0.5,0.4,0.885,0.444,0.747
67,19,71.642,0.357,0.333,0.827,0.345,0.663
