Total,Nb Errors,Accuracy,Precision,Recall,Specificity,F1,AUC
66,16,75.758,0.462,0.4,0.863,0.429,0.765
66,21,68.182,0.312,0.333,0.784,0.323,0.638
66,14,78.788,0.529,0.6,0.843,0.562,0.858
66,15,77.273,0.5,0.533,0.843,0.516,0.682
67,18,73.134,0.4,0.25,0.882,0.308,0.675
67,15,77.612,0.533,0.5,0.863,0.516,0.726
67,14,79.104,0.6,0.375,0.922,0.462,0.836
67,16,76.119,0.462,0.4,0.865,0.429,0.736
67,19,71.642,0.333,0.267,0.846,0.296,0.582
67,15,77.612,0.5,0.4,0.885,0.444,0.726
