Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
7,3,57.143,0.4,1.0,1.0,0.4,0.4,0.571,0.571,0.8
7,2,71.429,0.5,1.0,1.0,0.6,0.6,0.667,0.708,0.85
7,1,85.714,0.667,1.0,1.0,0.8,0.8,0.863,0.844,1.0
