Total,Nb Errors,Accuracy,Precision,Recall,Specificity,F1,AUC
66,8,87.879,0.769,0.667,0.941,0.714,0.833
66,22,66.667,0.294,0.333,0.765,0.312,0.683
66,17,74.242,0.438,0.467,0.824,0.452,0.735
66,19,71.212,0.357,0.333,0.824,0.345,0.631
67,13,80.597,0.615,0.5,0.902,0.552,0.864
67,17,74.627,0.474,0.562,0.804,0.514,0.768
67,15,77.612,0.529,0.562,0.843,0.545,0.818
67,19,71.642,0.389,0.467,0.788,0.424,0.651
67,14,79.104,0.538,0.467,0.885,0.5,0.767
67,17,74.627,0.429,0.4,0.846,0.414,0.654
