Total,Nb Errors,Accuracy,Precision,Recall,Specificity,F1,AUC
66,28,57.576,0.303,0.667,0.549,0.417,0.542
66,31,53.03,0.214,0.4,0.569,0.279,0.407
66,45,31.818,0.125,0.333,0.314,0.182,0.39
66,31,53.03,0.214,0.4,0.569,0.279,0.395
67,33,50.746,0.242,0.5,0.51,0.327,0.539
67,31,53.731,0.241,0.438,0.569,0.311,0.477
67,28,58.209,0.25,0.375,0.647,0.3,0.435
67,38,43.284,0.205,0.533,0.404,0.296,0.536
67,33,50.746,0.25,0.6,0.481,0.353,0.633
67,36,46.269,0.2,0.467,0.462,0.28,0.462
