Total,Nb Errors,Accuracy,Precision,Recall,Specificity,F1,AUC
66,14,78.788,0.529,0.6,0.843,0.562,0.791
66,17,74.242,0.429,0.4,0.843,0.414,0.537
66,17,74.242,0.438,0.467,0.824,0.452,0.765
66,19,71.212,0.357,0.333,0.824,0.345,0.584
67,17,74.627,0.467,0.438,0.843,0.452,0.669
67,18,73.134,0.45,0.562,0.784,0.5,0.716
67,16,76.119,0.5,0.5,0.843,0.5,0.738
67,17,74.627,0.444,0.533,0.808,0.485,0.712
67,13,80.597,0.571,0.533,0.885,0.552,0.829
67,20,70.149,0.353,0.4,0.788,0.375,0.679
