Total,Nb Errors,Accuracy,Precision,Recall,Specificity,F1,AUC
66,15,77.273,0.5,0.2,0.941,0.286,0.627
66,13,80.303,1.0,0.133,1.0,0.235,0.719
66,14,78.788,0.6,0.2,0.961,0.3,0.612
66,15,77.273,0.5,0.267,0.922,0.348,0.624
67,17,74.627,0.4,0.125,0.941,0.19,0.674
67,17,74.627,0.4,0.125,0.941,0.19,0.582
67,18,73.134,0.333,0.125,0.922,0.182,0.623
67,15,77.612,0.5,0.133,0.962,0.211,0.668
67,21,68.657,0.125,0.067,0.865,0.087,0.553
67,17,74.627,0.333,0.133,0.923,0.19,0.591
