Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
8,3,62.5,0.333,0.8,0.5,0.667,0.667,0.4,0.564,0.833
8,2,75.0,0.5,1.0,1.0,0.667,0.667,0.667,0.733,0.917
