Total,Nb Errors,Accuracy,Precision,Recall,Specificity,F1,AUC
66,13,80.303,0.583,0.467,0.902,0.519,0.758
66,20,69.697,0.333,0.333,0.804,0.333,0.595
66,18,72.727,0.4,0.4,0.824,0.4,0.672
66,21,68.182,0.286,0.267,0.804,0.276,0.569
67,18,73.134,0.438,0.438,0.824,0.438,0.713
67,17,74.627,0.455,0.312,0.882,0.37,0.635
67,15,77.612,0.533,0.5,0.863,0.516,0.752
67,22,67.164,0.294,0.333,0.769,0.312,0.687
67,14,79.104,0.533,0.533,0.865,0.533,0.712
67,18,73.134,0.385,0.333,0.846,0.357,0.704
