Nb Features Selected,Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
15,70,6,91.429,0.909,0.915,0.667,0.982,0.982,0.909,0.858,0.955
5,70,7,90.0,1.0,0.887,0.533,1.0,1.0,0.888,0.818,0.979
5,70,4,94.286,1.0,0.932,0.733,1.0,1.0,0.939,0.906,0.976
10,70,3,95.714,1.0,0.948,0.8,1.0,1.0,0.955,0.931,0.995
5,70,5,92.857,0.857,0.946,0.8,0.964,0.964,0.928,0.891,0.916
15,70,5,92.857,1.0,0.917,0.667,1.0,1.0,0.923,0.878,0.971
5,70,6,91.429,0.909,0.915,0.667,0.982,0.982,0.909,0.858,0.973
