Total,Nb Errors,Accuracy,Precision,Recall,Specificity,F1,AUC
66,13,80.303,0.75,0.2,0.98,0.316,0.64
66,12,81.818,0.8,0.267,0.98,0.4,0.624
66,11,83.333,1.0,0.267,1.0,0.421,0.652
66,18,72.727,0.2,0.067,0.922,0.1,0.51
67,19,71.642,0.286,0.125,0.902,0.174,0.588
67,17,74.627,0.4,0.125,0.941,0.19,0.625
67,15,77.612,0.571,0.25,0.941,0.348,0.659
67,17,74.627,0.25,0.067,0.942,0.105,0.545
67,17,74.627,0.375,0.2,0.904,0.261,0.588
67,16,76.119,0.4,0.133,0.942,0.2,0.52
