Total,Nb Errors,Accuracy,Precision,Recall,Specificity,F1,AUC
66,14,78.788,0.6,0.2,0.961,0.3,0.561
66,12,81.818,0.8,0.267,0.98,0.4,0.681
66,15,77.273,0.5,0.2,0.941,0.286,0.62
66,17,74.242,0.375,0.2,0.902,0.261,0.705
67,15,77.612,0.6,0.188,0.961,0.286,0.63
67,19,71.642,0.286,0.125,0.902,0.174,0.576
67,15,77.612,0.6,0.188,0.961,0.286,0.723
67,19,71.642,0.167,0.067,0.904,0.095,0.604
67,17,74.627,0.375,0.2,0.904,0.261,0.677
67,17,74.627,0.375,0.2,0.904,0.261,0.692
