Total,Nb Errors,Accuracy,Precision,Recall,Specificity,F1,AUC
66,45,31.818,0.125,0.333,0.314,0.182,0.263
66,27,59.091,0.324,0.733,0.549,0.449,0.658
66,32,51.515,0.257,0.6,0.49,0.36,0.515
66,35,46.97,0.167,0.333,0.51,0.222,0.437
67,35,47.761,0.212,0.438,0.49,0.286,0.494
67,35,47.761,0.212,0.438,0.49,0.286,0.543
67,41,38.806,0.097,0.188,0.451,0.128,0.333
67,39,41.791,0.2,0.533,0.385,0.291,0.449
67,35,47.761,0.222,0.533,0.462,0.314,0.518
67,32,52.239,0.27,0.667,0.481,0.385,0.573
