Total,Nb Errors,Accuracy,Precision,Recall,Specificity,F1,AUC
66,14,78.788,0.533,0.533,0.863,0.533,0.766
66,17,74.242,0.417,0.333,0.863,0.37,0.616
66,14,78.788,0.545,0.4,0.902,0.462,0.746
66,16,75.758,0.467,0.467,0.843,0.467,0.714
67,14,79.104,0.562,0.562,0.863,0.562,0.751
67,13,80.597,0.667,0.375,0.941,0.48,0.69
67,16,76.119,0.5,0.5,0.843,0.5,0.762
67,22,67.164,0.267,0.267,0.788,0.267,0.61
67,16,76.119,0.462,0.4,0.865,0.429,0.74
67,18,73.134,0.333,0.2,0.885,0.25,0.653
