Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
8,2,75.0,0.0,0.75,0.0,1.0,1.0,0.0,0.429,1.0
8,2,75.0,0.0,0.75,0.0,1.0,1.0,0.0,0.429,1.0
8,2,75.0,0.0,0.75,0.0,1.0,1.0,0.0,0.429,1.0
