Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
66,11,83.333,0.643,0.885,0.6,0.902,0.902,0.621,0.757,0.8
66,22,66.667,0.294,0.796,0.333,0.765,0.765,0.312,0.546,0.683
66,19,71.212,0.375,0.82,0.4,0.804,0.804,0.387,0.599,0.782
66,20,69.697,0.333,0.804,0.333,0.804,0.804,0.333,0.569,0.612
67,14,79.104,0.556,0.878,0.625,0.843,0.843,0.588,0.724,0.875
67,21,68.657,0.353,0.8,0.375,0.784,0.784,0.364,0.578,0.661
67,17,74.627,0.471,0.84,0.5,0.824,0.824,0.485,0.658,0.738
67,19,71.642,0.375,0.824,0.4,0.808,0.808,0.387,0.601,0.631
67,16,76.119,0.462,0.833,0.4,0.865,0.865,0.429,0.639,0.574
67,18,73.134,0.4,0.827,0.4,0.827,0.827,0.4,0.613,0.699
