Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
66,12,81.818,0.6,0.882,0.6,0.882,0.882,0.6,0.741,0.824
66,18,72.727,0.4,0.824,0.4,0.824,0.824,0.4,0.612,0.7
66,15,77.273,0.5,0.86,0.533,0.843,0.843,0.516,0.684,0.817
66,18,72.727,0.4,0.824,0.4,0.824,0.824,0.4,0.612,0.626
67,14,79.104,0.556,0.878,0.625,0.843,0.843,0.588,0.724,0.881
67,21,68.657,0.333,0.788,0.312,0.804,0.804,0.323,0.559,0.637
67,17,74.627,0.471,0.84,0.5,0.824,0.824,0.485,0.658,0.725
67,18,73.134,0.412,0.84,0.467,0.808,0.808,0.437,0.631,0.628
67,15,77.612,0.5,0.836,0.4,0.885,0.885,0.444,0.652,0.581
67,18,73.134,0.4,0.827,0.4,0.827,0.827,0.4,0.613,0.706
