Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
66,12,81.818,0.6,0.882,0.6,0.882,0.882,0.6,0.741,0.801
66,19,71.212,0.357,0.808,0.333,0.824,0.824,0.345,0.58,0.693
66,14,78.788,0.533,0.863,0.533,0.863,0.863,0.533,0.698,0.817
66,18,72.727,0.385,0.811,0.333,0.843,0.843,0.357,0.592,0.625
67,16,76.119,0.5,0.843,0.5,0.843,0.843,0.5,0.672,0.866
67,22,67.164,0.312,0.784,0.312,0.784,0.784,0.312,0.548,0.686
67,16,76.119,0.5,0.843,0.5,0.843,0.843,0.5,0.672,0.736
67,17,74.627,0.438,0.843,0.467,0.827,0.827,0.452,0.643,0.676
67,14,79.104,0.538,0.852,0.467,0.885,0.885,0.5,0.684,0.625
67,18,73.134,0.4,0.827,0.4,0.827,0.827,0.4,0.613,0.706
