Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
66,12,81.818,0.6,0.882,0.6,0.882,0.882,0.6,0.741,0.788
66,19,71.212,0.375,0.82,0.4,0.804,0.804,0.387,0.599,0.703
66,17,74.242,0.429,0.827,0.4,0.843,0.843,0.414,0.624,0.775
66,18,72.727,0.385,0.811,0.333,0.843,0.843,0.357,0.592,0.616
67,16,76.119,0.5,0.843,0.5,0.843,0.843,0.5,0.672,0.854
67,19,71.642,0.412,0.82,0.438,0.804,0.804,0.424,0.618,0.708
67,16,76.119,0.5,0.843,0.5,0.843,0.843,0.5,0.672,0.768
67,17,74.627,0.429,0.83,0.4,0.846,0.846,0.414,0.626,0.686
67,16,76.119,0.462,0.833,0.4,0.865,0.865,0.429,0.639,0.631
67,18,73.134,0.4,0.827,0.4,0.827,0.827,0.4,0.613,0.68
