Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
66,12,81.818,0.6,0.882,0.6,0.882,0.882,0.6,0.741,0.821
66,21,68.182,0.333,0.812,0.4,0.765,0.765,0.364,0.576,0.688
66,18,72.727,0.385,0.811,0.333,0.843,0.843,0.357,0.592,0.778
66,19,71.212,0.357,0.808,0.333,0.824,0.824,0.345,0.58,0.61
67,14,79.104,0.562,0.863,0.562,0.863,0.863,0.562,0.713,0.873
67,21,68.657,0.353,0.8,0.375,0.784,0.784,0.364,0.578,0.69
67,13,80.597,0.588,0.88,0.625,0.863,0.863,0.606,0.739,0.797
67,19,71.642,0.375,0.824,0.4,0.808,0.808,0.387,0.601,0.615
67,16,76.119,0.462,0.833,0.4,0.865,0.865,0.429,0.639,0.567
67,20,70.149,0.308,0.796,0.267,0.827,0.827,0.286,0.549,0.683
