Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
66,13,80.303,0.571,0.865,0.533,0.882,0.882,0.552,0.713,0.784
66,19,71.212,0.375,0.82,0.4,0.804,0.804,0.387,0.599,0.704
66,17,74.242,0.429,0.827,0.4,0.843,0.843,0.414,0.624,0.745
66,18,72.727,0.385,0.811,0.333,0.843,0.843,0.357,0.592,0.62
67,16,76.119,0.5,0.857,0.562,0.824,0.824,0.529,0.685,0.875
67,19,71.642,0.412,0.82,0.438,0.804,0.804,0.424,0.618,0.708
67,16,76.119,0.5,0.843,0.5,0.843,0.843,0.5,0.672,0.768
67,17,74.627,0.429,0.83,0.4,0.846,0.846,0.414,0.626,0.686
67,16,76.119,0.462,0.833,0.4,0.865,0.865,0.429,0.639,0.631
67,18,73.134,0.4,0.827,0.4,0.827,0.827,0.4,0.613,0.68
