Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
8,3,62.5,0.0,0.714,0.0,0.833,0.833,0.577,0.385,0.833
8,2,75.0,0.0,0.75,0.0,1.0,1.0,0.643,0.429,0.917
