Total,Nb Errors,Accuracy,Precision Case,Precision Control,Recall Case,Recall Control,Specificity,F1,F1 (TL. way),AUC
12,1,91.667,0.8,1.0,1.0,0.875,0.875,0.889,0.911,1.0
12,0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
57,3,94.737,0.921,1.0,1.0,0.864,0.864,0.959,0.943,1.0
57,1,98.246,1.0,0.957,0.971,1.0,1.0,0.986,0.982,1.0
