mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.0029304981231689452,7.249808380421174e-05,0.0008471250534057617,5.322626830048562e-05,1.4227272727272726,2,auto,poly,"{'C': 1.4227272727272726, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",-0.2857142857142857,-0.14285714285714285,-0.14285714285714285,-0.14285714285714285,-0.2857142857142857,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,-0.18333333333333332,0.05221836237966977,1
0.0018323659896850586,5.0009312863767095e-05,0.0005885839462280273,6.578729004166332e-05,1.3218181818181818,2,scale,poly,"{'C': 1.3218181818181818, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",-0.2857142857142857,-0.14285714285714285,-0.14285714285714285,-0.14285714285714285,-0.2857142857142857,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,-0.18333333333333332,0.05221836237966977,1
0.002258443832397461,0.0006189354230143887,0.0006602764129638672,0.00014139726150266073,1.5236363636363637,2,auto,poly,"{'C': 1.5236363636363637, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",-0.2857142857142857,-0.14285714285714285,-0.14285714285714285,-0.14285714285714285,-0.2857142857142857,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,-0.18333333333333332,0.05221836237966977,1
0.003020191192626953,7.238241993331212e-05,0.0008409023284912109,4.1558348530896585e-05,1.6245454545454545,2,auto,poly,"{'C': 1.6245454545454545, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",-0.2857142857142857,-0.14285714285714285,-0.14285714285714285,-0.14285714285714285,-0.2857142857142857,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,-0.18333333333333332,0.05221836237966977,1
0.002400517463684082,0.0006157311855850145,0.0006804704666137695,0.00010169118102997505,1.4227272727272726,2,scale,poly,"{'C': 1.4227272727272726, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",-0.2857142857142857,-0.14285714285714285,-0.14285714285714285,-0.14285714285714285,-0.2857142857142857,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,-0.18333333333333332,0.05221836237966977,1
0.0028972625732421875,7.427892472858834e-05,0.0008038520812988281,3.739421934397197e-05,1.3218181818181818,2,auto,poly,"{'C': 1.3218181818181818, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",-0.2857142857142857,-0.14285714285714285,-0.2857142857142857,-0.14285714285714285,-0.2857142857142857,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,-0.19761904761904764,0.05836976510538696,6
0.002933979034423828,5.300490621863935e-05,0.0008486032485961914,3.317362141189038e-05,1.220909090909091,2,auto,poly,"{'C': 1.220909090909091, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",-0.2857142857142857,-0.14285714285714285,-0.2857142857142857,-0.14285714285714285,-0.2857142857142857,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,-0.19761904761904764,0.05836976510538696,6
0.0030483007431030273,4.638944916037927e-05,0.0008202075958251953,3.459038666832728e-05,1.220909090909091,2,scale,poly,"{'C': 1.220909090909091, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",-0.2857142857142857,-0.14285714285714285,-0.2857142857142857,-0.14285714285714285,-0.2857142857142857,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,-0.19761904761904764,0.05836976510538696,6
0.0017637014389038086,0.00025407544900993783,0.0005597114562988281,6.644595339602728e-05,1.1199999999999999,3,auto,poly,"{'C': 1.1199999999999999, 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",-0.2857142857142857,-0.14285714285714285,-0.14285714285714285,-0.2857142857142857,-0.2857142857142857,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,-0.19761904761904764,0.05836976510538696,6
0.0026854991912841795,0.00011988324388859297,0.0006818056106567382,5.263254702015914e-05,1.1199999999999999,3,scale,poly,"{'C': 1.1199999999999999, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",-0.2857142857142857,-0.14285714285714285,-0.14285714285714285,-0.2857142857142857,-0.2857142857142857,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,-0.19761904761904764,0.05836976510538696,6
0.002878880500793457,6.313227183847578e-05,0.000824427604675293,3.408642834652251e-05,1.1199999999999999,2,auto,poly,"{'C': 1.1199999999999999, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",-0.2857142857142857,-0.14285714285714285,-0.2857142857142857,-0.14285714285714285,-0.2857142857142857,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,-0.19761904761904764,0.05836976510538696,6
